user_index,poi_index,category,unixtime,dow,hour,min,distance
5,310,-,1372663222.0,Mon,16,20,0
5,310,-,1372664422.0,Mon,16,40,0
5,310,-,1372665622.0,Mon,17,0,0
5,311,-,1372666822.0,Mon,17,20,0
5,331,-,1372668023.0,Mon,17,40,0
5,331,-,1372669223.0,Mon,18,0,0
5,331,-,1372670423.0,Mon,18,20,0
5,331,-,1372671623.0,Mon,18,40,0
6,124,-,1387152015.0,Mon,9,0,0
6,124,-,1387153216.0,Mon,9,20,0
6,124,-,1387154416.0,Mon,9,40,0
6,124,-,1387155617.0,Mon,10,0,0
6,124,-,1387156818.0,Mon,10,20,0
6,104,-,1387158019.0,Mon,10,40,0
6,104,-,1387159219.0,Mon,11,0,0
6,104,-,1387160420.0,Mon,11,20,0
6,104,-,1387161621.0,Mon,11,40,0
6,104,-,1387162821.0,Mon,12,0,0
6,104,-,1387164022.0,Mon,12,20,0
6,104,-,1387165223.0,Mon,12,40,0
6,84,-,1387166424.0,Mon,13,0,0
6,84,-,1387167624.0,Mon,13,20,0
6,84,-,1387168825.0,Mon,13,40,0
6,84,-,1387170026.0,Mon,14,0,0
6,84,-,1387171226.0,Mon,14,20,0
6,84,-,1387172427.0,Mon,14,40,0
6,84,-,1387173628.0,Mon,15,0,0
6,64,-,1387174828.0,Mon,15,20,0
6,64,-,1387176029.0,Mon,15,40,0
6,64,-,1387177230.0,Mon,16,0,0
6,64,-,1387178431.0,Mon,16,20,0
6,64,-,1387179631.0,Mon,16,40,0
6,63,-,1387180832.0,Mon,17,0,0
6,63,-,1387182033.0,Mon,17,20,0
6,63,-,1387183233.0,Mon,17,40,0
6,43,-,1387184434.0,Mon,18,0,0
6,43,-,1387185635.0,Mon,18,20,0
6,43,-,1387186836.0,Mon,18,40,0
7,195,-,1381622453.0,Sun,9,0,0
7,195,-,1381623654.0,Sun,9,20,0
7,195,-,1381624855.0,Sun,9,40,0
7,194,-,1381626056.0,Sun,10,0,0
7,174,-,1381627257.0,Sun,10,20,0
7,173,-,1381628458.0,Sun,10,40,0
7,193,-,1381629659.0,Sun,11,0,0
7,192,-,1381630800.0,Sun,11,20,0
7,192,-,1381632001.0,Sun,11,40,0
7,191,-,1381633202.0,Sun,12,0,0
7,171,-,1381634403.0,Sun,12,20,0
7,170,-,1381635604.0,Sun,12,40,0
7,170,-,1381636805.0,Sun,13,0,0
7,169,-,1381638006.0,Sun,13,20,0
7,169,-,1381639206.0,Sun,13,40,0
7,168,-,1381640407.0,Sun,14,0,0
7,168,-,1381641608.0,Sun,14,20,0
7,167,-,1381642809.0,Sun,14,40,0
7,167,-,1381644010.0,Sun,15,0,0
7,166,-,1381645211.0,Sun,15,20,0
7,166,-,1381646412.0,Sun,15,40,0
7,165,-,1381647613.0,Sun,16,0,0
7,165,-,1381648814.0,Sun,16,20,0
7,164,-,1381650015.0,Sun,16,40,0
7,164,-,1381651216.0,Sun,17,0,0
7,143,-,1381652417.0,Sun,17,20,0
7,305,-,1387183233.0,Mon,17,40,0
